,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
1147,POINT (-120.66974997307712 55.15405614260088),55.1541,-120.6697,25095.0,G70645,2023,2023-06-03 19:00:01,2024-08-15 02:35:13,Lightning,Prince George Fire Centre
1148,POINT (-120.4118184446292 58.50212327133789),58.502100000000006,-120.4118,173376.2,G90628,2023,2023-06-04 21:26:58,2024-08-28 19:00:29,Lightning,Prince George Fire Centre
1149,POINT (-123.55190277824113 59.82650584019716),59.8265,-123.5519,37793.9,G90709,2023,2023-06-04 21:49:25,2024-08-17 22:54:15,Lightning,Prince George Fire Centre
1150,POINT (-120.36943523867696 58.111406268609834),58.1114,-120.3694,11155.64,G80286,2024,2023-06-05 02:37:18,2025-04-01 06:59:13,Lightning,Prince George Fire Centre
1151,POINT (-124.08185093447106 55.994505706079366),55.9945,-124.0818,3215.3,G60655,2023,2023-06-06 20:18:09,2024-04-26 20:50:01,Lightning,Prince George Fire Centre
1152,POINT (-124.54463499080472 55.94677264108073),55.9468,-124.5446,176539.1,G60666,2023,2023-06-06 22:00:00,2024-08-29 21:25:54,Lightning,Prince George Fire Centre
1153,POINT (-123.67031754356432 55.24018874473093),55.2402,-123.67030000000001,22372.75,G60853,2023,2023-06-22 18:02:37,2024-08-14 19:27:12,Lightning,Prince George Fire Centre
1154,POINT (-125.92716900731747 57.632438471670824),57.632400000000004,-125.9272,4638.0,G60858,2023,2023-06-22 20:56:20,2024-08-28 22:18:15,Lightning,Prince George Fire Centre
1155,POINT (-124.84096776292418 55.30137258731408),55.3014,-124.84100000000001,17333.8,G50872,2023,2023-06-22 23:00:38,2024-08-28 21:10:37,Lightning,Prince George Fire Centre
1156,POINT (-120.91181794392737 57.2791061721129),57.2791,-120.9118,19136.5,G80875,2023,2023-06-23 00:22:39,2024-08-14 00:07:31,Lightning,Prince George Fire Centre
1157,POINT (-124.44268472579616 55.36650564274649),55.3665,-124.4427,18195.4,G60861,2023,2023-06-23 17:46:57,2024-08-20 19:27:37,Lightning,Prince George Fire Centre
1158,POINT (-127.65205219869691 57.48010522098023),57.4801,-127.652,14460.07,R90877,2023,2023-06-23 20:15:51,2023-11-21 23:17:26,Lightning,Northwest Fire Centre
1159,POINT (-126.65085314426372 59.52483837790298),59.524800000000006,-126.6508,12107.210000000001,G90956,2023,2023-06-24 02:03:59,2024-06-23 22:00:21,Lightning,Prince George Fire Centre
1160,POINT (-126.95318725450073 59.62800533259937),59.628,-126.95320000000001,5278.13,G90949,2023,2023-06-24 02:27:25,2024-06-23 22:00:58,Lightning,Prince George Fire Centre
1161,POINT (-126.40138525827977 55.879838382326675),55.8798,-126.40140000000001,5712.7,G50856,2023,2023-06-24 02:36:03,2024-08-30 21:55:55,Lightning,Prince George Fire Centre
1162,POINT (-127.65002008247825 59.1395052268898),59.139500000000005,-127.65,22393.46,G90981,2023,2023-06-25 02:03:43,2024-06-23 22:00:10,Lightning,Prince George Fire Centre
1163,POINT (-125.67201698699012 52.95712242345364),52.957100000000004,-125.67200000000001,21926.5,G41158,2023,2023-06-25 23:00:00,2024-08-30 22:20:41,Lightning,Prince George Fire Centre
1164,POINT (-121.62688583912127 58.79397310518442),58.794000000000004,-121.6269,508453.29000000004,G90228,2024,2023-06-28 23:30:00,2025-04-01 06:59:44,Lightning,Prince George Fire Centre
1165,POINT (-121.64271877640788 58.67195610037553),58.672000000000004,-121.6427,74686.0,G91313,2023,2023-06-28 23:30:25,2024-08-28 19:00:11,Lightning,Prince George Fire Centre
1166,POINT (-123.2241366112398 59.64312288646824),59.643100000000004,-123.2241,3764.8,G91013,2023,2023-06-29 02:38:31,2024-08-17 22:54:07,Lightning,Prince George Fire Centre
1167,POINT (-129.59377066201114 59.642104932168444),59.642100000000006,-129.59380000000002,60064.12,R91162,2023,2023-07-06 20:47:23,2023-12-18 18:16:54,Lightning,Northwest Fire Centre
1168,POINT (-134.25227128257552 59.704054212611545),59.704100000000004,-134.25230000000002,2253.27,R91184,2023,2023-07-06 22:00:30,2023-11-21 23:17:32,Person,Northwest Fire Centre
1169,POINT (-121.78538642725971 59.80510609950234),59.8051,-121.78540000000001,6996.400000000001,G91494,2023,2023-07-06 23:00:00,2024-08-17 22:54:21,Lightning,Prince George Fire Centre
1170,POINT (-120.68151898054894 59.40573925181608),59.4057,-120.6815,18597.38,G90399,2024,2023-07-06 23:00:00,2025-04-01 06:59:01,Lightning,Prince George Fire Centre
1171,POINT (-121.03065206312995 59.4272062017034),59.427200000000006,-121.0306,32257.2,G91534,2023,2023-07-06 23:00:00,2024-08-28 19:00:35,Lightning,Prince George Fire Centre
1172,POINT (-126.76116765444883 54.30527230747465),54.3053,-126.7612,1444.72,R21178,2023,2023-07-07 04:45:00,2024-01-25 16:24:45,Lightning,Northwest Fire Centre
