FIRE_LABEL,FIRE_NUMBER,STATION_CODE,weather_station_distance_km,FIRE_SIZE_HECTARES,IGNITION_DATE,avg_tmp_igd,avg_tmp_7d,avg_hmd_igd,avg_hmd_7d,avg_wind_igd,avg_wind_7d,precp_igd,total_precp_7d,total_precp_30d,MUNICIPALITY,POPULATION,municipality_distance_km
2021-V12270,V12270,1040,5.151498721264738,461.4,2021-07-31,23.0875,22.070833333333333,51.083333333333336,49.857142857142854,3.345833333333333,5.247619047619048,0.0,0.0,0.1999999999999858,Kent,6589,34.88815505733943
2021-V12312,V12312,1040,15.491985229716777,104.1,2021-08-02,21.854166666666668,22.26190476190476,72.95833333333333,53.285714285714285,4.120833333333334,4.417261904761905,0.0,3.999999999999993,4.199999999999986,Hope,6796,42.05688991951756
2021-V12329,V12329,1040,12.82837819398045,150.8,2021-08-01,19.504166666666663,22.496428571428567,84.0,49.36904761904761,2.25,4.908928571428571,4.0,0.0,0.1999999999999858,Hope,6796,42.60635451543615
2021-C11189,C11189,166,37.42065209954575,9.7,2021-07-01,20.954166666666666,23.84047619047619,44.16666666666666,50.36309523809524,8.566666666666666,5.376785714285715,1.0,0.0,35.400000000000006,Vanderhoof,4575,108.3446111394236
2021-K42579,K42579,882,19.632135554619165,19.5,2021-08-11,21.778260869565216,18.13284161490683,39.391304347826086,54.535455486542446,6.734782608695652,5.33944099378882,0.0,0.6000000000000019,1.8000000000000071,Sicamous,2708,13.80726576219057
2021-N51724,N51724,406,10.84134194931324,2359.5,2021-07-09,22.379166666666663,19.65773809523809,41.66666666666666,60.577380952380956,8.845833333333333,9.723809523809523,0.0,21.2,66.80000000000001,Slocan,364,11.5760725478553
2021-G52377,G52377,154,30.819090832318697,7.3,2021-08-03,17.662499999999998,17.244642857142857,45.75,60.74999999999999,8.049999999999999,6.25,0.0,0.9999999999999858,28.200000000000003,Fort St James,1603,75.35763752346296
2021-K21001,K21001,305,0.0,89626.7,2021-06-28,31.6875,23.47083333333333,25.291666666666668,39.89880952380952,5.791666666666667,6.008333333333333,0.0,0.0,3.3999999999999986,Barriere,1820,12.166316391356192
2021-C11491,C11491,211,26.957556173032444,8086.3,2021-07-06,18.59583333333333,20.88035714285714,52.583333333333336,54.32142857142856,4.066666666666667,6.035119047619048,0.0,2.600000000000007,34.60000000000001,Vanderhoof,4575,79.27571780816453
2021-K71030,K71030,280,13.783143730860504,44964.2,2021-06-29,35.9125,29.217779503105593,21.5,34.07298136645962,8.570833333333333,9.000232919254659,0.0,0.0,5.800000000000002,Lillooet,2341,6.433604280520063
2021-V11669,V11669,1339,6.695448517497486,5098.0,2021-07-08,21.382608695652173,24.207919254658385,59.43478260869565,49.825051759834366,5.943478260869565,7.9137681159420294,0.0,0.0,4.2,Lytton,222,12.792598766803945
2021-V62669,V62669,59,3.923168681725769,61.5,2021-08-19,21.0625,22.014880952380953,59.66666666666666,59.13690476190476,11.604166666666666,6.65297619047619,0.0,0.5999999999999982,3.999999999999993,Ladysmith,9133,3.243887356789492
2021-C21722,C21722,210,31.49310095180133,6.6,2021-07-10,23.1,20.998214285714283,38.458333333333336,49.38095238095237,11.254166666666668,8.270238095238094,0.0,1.400000000000007,6.000000000000002,Williams Lake,11381,36.7760511511357
2021-G52558,G52558,154,40.49035473300201,1.1,2021-08-11,14.85,13.662499999999998,50.208333333333336,69.13095238095238,9.108333333333333,8.527380952380954,0.0,11.199999999999987,37.60000000000001,Fort St James,1603,46.35448444561137
2021-K42399,K42399,250,12.178555300693592,167.7,2021-08-04,18.370833333333334,18.327380952380953,54.083333333333336,59.142857142857146,4.929166666666666,3.9351190476190476,0.0,4.799999999999993,22.0,Clearwater,2402,55.42879747467392
2021-C31947,C31947,266,33.076237203351226,1517.0,2021-07-15,21.154166666666665,21.782738095238095,41.04166666666666,43.220238095238095,5.0625,5.429761904761905,0.0,0.0,21.400000000000002,McBride,634,70.7848805032308
2021-C32369,C32369,264,20.136072748394334,255.5,2021-08-02,19.95,18.86785714285714,77.54166666666667,55.541666666666664,4.9750000000000005,5.4386904761904775,2.6,2.8000000000000123,11.200000000000003,Wells,233,86.36134350278276
2021-K71086,K71086,1055,0.0,83671.3,2021-06-30,31.975,31.435119047619047,38.79166666666666,30.39880952380952,16.016666666666666,7.179761904761904,0.0,0.0,0.0,Lytton,222,0.0
2021-G71134,G71134,127,31.417284718300188,283.1,2021-07-01,21.191666666666663,24.767261904761906,72.33333333333333,48.72023809523809,6.783333333333334,7.438095238095237,0.0,0.4,8.399999999999997,Tumbler Ridge,2422,6.30723666019847
2021-C41972,C41972,251,25.134151433468343,1.5,2021-07-12,18.275,18.05,49.875,60.77380952380952,4.570833333333334,5.179761904761905,0.0,1.8,15.8,100 Mile House,1998,33.59726523262417
2021-G61199,G61199,148,17.227576336658565,11664.8,2021-06-30,19.29583333333333,21.3422619047619,62.708333333333336,46.84523809523809,8.591666666666667,7.161904761904762,0.0,0.0,36.39999999999999,Mackenzie,3868,154.4608900592622
2021-G61316,G61316,148,0.0,16835.6,2021-06-30,19.29583333333333,21.3422619047619,62.708333333333336,46.84523809523809,8.591666666666667,7.161904761904762,0.0,0.0,36.39999999999999,Granisle,325,142.1614961092871
2021-G61333,G61333,140,26.74428842116495,38.4,2021-06-30,26.104166666666668,22.954761904761906,57.083333333333336,53.31547619047619,6.533333333333334,6.491071428571428,0.0,1.1999999999999966,27.0,Mackenzie,3868,33.300054870170904
2021-G62563,G62563,148,24.468032115235584,435.0,2021-08-11,14.55,13.810714285714283,47.04166666666666,67.33333333333333,10.125,8.11845238095238,0.0,3.199999999999992,23.599999999999994,Granisle,325,162.07853276309902
2021-C41114,C41114,234,19.88201052502832,18.2,2021-07-01,22.758333333333336,25.62142857142857,56.458333333333336,42.77380952380952,6.116666666666667,6.332738095238095,0.0,0.0,42.800000000000004,100 Mile House,1998,19.49966694666456
2021-N71245,N71245,1203,4.337109525408295,7588.9,2021-07-02,20.9875,24.05535714285714,45.208333333333336,39.089285714285715,5.8,7.069642857142857,0.0,0.0,41.400000000000006,Creston,5651,21.97773951501023
2021-C41602,C41602,236,0.9088554248058948,73862.5,2021-07-08,16.4875,19.837500000000002,66.625,49.589285714285715,8.1625,7.827976190476191,0.8,2.800000000000001,11.800000000000004,100 Mile House,1998,6.438848998103641
2021-C41091,C41091,218,4.121565335617275,3.9,2021-07-01,23.0625,24.5125,52.16666666666666,46.97023809523809,8.429166666666667,8.007142857142858,0.0,0.0,22.800000000000008,100 Mile House,1998,15.930592534746204
2021-C52274,C52274,209,10.906200254268764,1.7,2021-07-31,22.95,19.889285714285712,38.91666666666666,44.875,4.195833333333334,5.9750000000000005,0.0,0.2000000000000018,5.4,Williams Lake,11381,68.40689394955496
2021-C41191,C41191,251,14.977069504773294,3278.3,2020-07-01,8.641666666666667,12.113690476190476,97.875,79.75,3.6,4.743452380952381,20.8,32.400000000000006,136.6,100 Mile House,1998,33.41916128685767
2021-K61884,K61884,298,0.0,83046.5,2021-07-12,27.67083333333333,25.60043995859213,27.08333333333333,39.128105590062106,5.908333333333332,6.526811594202899,0.0,0.2,17.2,Vernon,44267,2.279727923994142
2021-K42750,K42750,1359,19.646811447220227,1.1,2021-08-30,14.6875,13.808928571428575,44.04166666666666,56.57738095238095,11.895833333333334,7.472619047619048,0.0,1.7999999999999983,23.0,Salmon Arm,19377,10.912040523180956
2021-K52627,K52627,1277,9.35284902257578,976.0,2021-08-15,28.15416666666667,23.667261904761908,23.45833333333333,40.99404761904761,8.7125,5.275595238095237,0.0,6.200000000000004,9.400000000000004,Peachland,5710,0.0
2021-K52791,K52791,328,5.655310313559922,1.0,2021-09-06,19.679166666666667,17.20654761904762,44.0,50.029761904761905,4.858333333333333,5.301785714285714,0.0,0.0,17.0,Penticton,37460,0.3100406686167378
2021-K62088,K62088,317,10.480281227561502,14617.9,2021-07-19,18.04583333333333,17.589285714285715,44.91666666666666,56.48809523809524,7.391666666666667,7.3875,0.0,0.0,8.6,Princeton,2808,4.392935315342016
2021-N42099,N42099,363,23.828528791350323,1.1,2021-07-20,22.9,21.789285714285715,45.75,54.083333333333336,5.945833333333333,5.342261904761905,0.0,0.0,4.799999999999993,Revelstoke,8590,23.51653859042914
2021-N21307,N21307,411,7.580537210261927,1.7,2021-07-02,19.5375,23.519642857142856,68.33333333333333,56.732142857142854,4.779166666666667,3.754761904761905,0.0,0.0,44.8,Invermere,3825,17.695598441232832
2021-N42293,N42293,868,10.69827503642963,20.5,2021-07-22,12.725,20.462987012987014,69.0,45.60551948051948,9.6,8.662067099567096,1.4,2.0,10.0,Revelstoke,8590,84.00865878773224
2021-G72604,G72604,138,39.30689459888743,2.5,2021-08-13,22.791666666666668,13.926785714285716,34.666666666666664,56.19642857142857,13.6125,16.748214285714287,0.0,8.200000000000008,22.4,Tumbler Ridge,2422,37.26692334794882
2021-N11956,N11956,412,14.154361252513674,1.1,2021-07-13,26.666666666666668,24.383928571428573,34.916666666666664,40.154761904761905,15.7,10.189285714285715,1.8,0.20000000000001422,15.80000000000001,Fernie,6267,32.09150925142703
2021-K52061,K52061,334,0.0,19930.0,2021-07-19,23.0875,22.5297619047619,26.75,31.98214285714285,8.291666666666666,7.369642857142856,0.0,0.0,7.199999999999999,Osoyoos,5527,0.9796750281756998
2021-N21981,N21981,790,15.941738306566126,66.5,2021-07-15,21.0875,19.452380952380945,41.25,54.24404761904761,6.329166666666667,6.044642857142857,0.0,15.399999999999999,70.60000000000001,Canal Flats,768,20.433587836984756
